Comment,Designator,Footprint,LCSC Part #
10pF,"C1,C62,C63,C85,C86,C89",C0201_334,C106245
0.33µF,"C2,C6",C0201_334,C331029
0.47µf,C3,C0201_334,C331025
DNP,"C4,C5,C7",C0201_334,
1000pF,C8,C0201_334,C106246
0.47µF,"C9,C10",C0201_334,C331025
1µF,"C11,C12,C13,C14,C59,C68,C69,C70,C71,C82",C0201_334,C106253
10nF,"C15,C17,C19",C0402_334,C15195
0.1µF,"C16,C18,C20,C22,C24,C26,C28,C30,C32,C34,C35,C36,C37,C41,C42,C43,C44,C64,C65,C66,C67,C87,C88,C90,C91",C0201_334,C106250
22µF,"C21,C25,C29,C33,C46,C51",C1210_334,C108816
10µF,"C23,C27,C31,C45,C47",C1210_334,C108812
4.7µF,"C38,C39,C40,C48,C49,C50,C55,C56,C57,C58,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81",C0201_334,C106258
31pF,"C60,C83",C0201_334,
10nF,"C61,C84",C0201_334,C106247
0.1µf,C92,C0201_334,C106250
Green,"D1,D2",LED-0603,C72043
FBMH1608HL601-T,"FB1,FB2,FB3,FB4",BEADC1608X90N,C96445
AD9523BCPZ,IC1,QFN50P1000X1000X100-73N,
142-0731-211,"J1,J2,J5,J6,J7,J8,J9,J10,J11,J12,J13",1420731211,
CJT-T-P-HH-ST-TH1,"J3,J4",CONN_CJT-T-P-XX-ST-TH1_SAI,
DNP,JP1,2X06_325,
DNP,JP2,2X07_325,
1.3nH,"L1,L2,L3,L4,L5,L6,L7,L8",L0201_334,
DNP,"L9,L10,L11,L12,L13",L5650M_334,
100R,"R1,R12,R13,R26",R0201_334,C106230
1k,"R2,R3,R4,R7,R9,R11",R0201_334,C106232
0R,"R5,R14,R15,R19,R20,R27,R28,R32,R33",R0201_334,C106222
0.65k,"R6,R8,R10",R0201_334,
931R,"R16,R29",R0201_334,
30R,"R17,R30",R0201_334,C106228
330R,"R18,R31",R0201_334,C106231
500R,"R21,R34",R0201_334,
200k,"R22,R23,R24,R25,R35,R36,R37,R38",R0201_334,C106240
22R,"R39,R40,R41",R0201_334,C106227
ADF4382ABCCZ,"U1,U6",CC-48-10_ADI,
MTX2-143+,"U2,U3,U7,U9",DQ1225_MNC,
ATS1005-3DB-FD-T05,"U4,U5,U8,U10",SMT_DB-FD-T05_SUS,
ECOC-2522-100.000-3HC,X4,SMD5_ECOC-2522_25P4X22_ECS,
CVHD-950-50.000,"X5,X6",SMD4_CVHD-950_CRX,
22-23-2021,"X10,X11,X12,X13,X14,X15",22-23-2021_165,
