Designator,Mid X,Mid Y,Layer,Rotation
C1,146.8711mm,95.0936mm,top,90.0000
C2,130.2411mm,141.4836mm,top,0.0000
C3,147.9611mm,109.2836mm,top,0.0000
C4,147.9811mm,111.6136mm,top,0.0000
C5,148.0211mm,112.6136mm,top,0.0000
C6,148.0211mm,113.0836mm,top,0.0000
C7,148.0111mm,114.6136mm,top,0.0000
C8,148.0111mm,115.1336mm,top,0.0000
C9,147.2611mm,117.1136mm,top,90.0000
C10,147.1311mm,115.5836mm,top,0.0000
C11,145.8711mm,104.7036mm,top,-90.0000
C12,145.3111mm,104.7036mm,top,-90.0000
C13,143.9011mm,104.6536mm,top,-90.0000
C14,143.3211mm,104.6536mm,top,-90.0000
C15,185.2811mm,124.8436mm,top,0.0000
C16,147.5711mm,110.3536mm,top,90.0000
C17,163.0811mm,130.7336mm,top,-90.0000
C18,149.0711mm,120.3636mm,top,180.0000
C19,151.3611mm,130.7336mm,top,-90.0000
C20,154.1611mm,120.4636mm,top,0.0000
C21,108.3011mm,124.4036mm,top,-90.0000
C22,157.2111mm,120.4736mm,top,0.0000
C23,119.5011mm,124.5036mm,top,-90.0000
C24,160.6311mm,117.5836mm,top,0.0000
C25,133.7011mm,150.1036mm,top,-90.0000
C26,160.3411mm,114.3536mm,top,90.0000
C27,144.8011mm,149.7036mm,top,-90.0000
C28,160.5611mm,111.5936mm,top,0.0000
C29,179.9011mm,150.1036mm,top,-90.0000
C30,156.2111mm,108.1736mm,top,0.0000
C31,168.8011mm,150.0036mm,top,-90.0000
C32,152.9811mm,108.1036mm,top,90.0000
C33,116.2011mm,59.9036mm,top,90.0000
C34,147.7011mm,116.1436mm,top,180.0000
C35,155.7111mm,120.4636mm,top,0.0000
C36,159.6611mm,120.2636mm,top,0.0000
C37,160.7011mm,116.0436mm,top,0.0000
C38,140.7311mm,99.5636mm,top,180.0000
C39,141.0611mm,102.9336mm,top,-90.0000
C40,144.6111mm,104.4836mm,top,0.0000
C41,160.7611mm,113.1236mm,top,0.0000
C42,160.3511mm,109.7536mm,top,90.0000
C43,155.0611mm,108.2736mm,top,0.0000
C44,150.8311mm,108.1836mm,top,180.0000
C45,117.9011mm,69.5036mm,top,180.0000
C46,132.8011mm,61.2036mm,top,-90.0000
C47,129.4011mm,68.3036mm,top,0.0000
C48,146.6111mm,104.4636mm,top,0.0000
C49,146.6111mm,104.9436mm,top,0.0000
C50,150.1411mm,101.8836mm,top,-90.0000
C51,186.2011mm,67.7036mm,top,90.0000
C55,142.7111mm,95.4036mm,top,0.0000
C56,150.3611mm,95.5636mm,top,180.0000
C57,150.1911mm,97.4036mm,top,90.0000
C58,150.1211mm,100.8336mm,top,-90.0000
C59,148.1511mm,105.4336mm,top,90.0000
C60,151.4511mm,100.4036mm,top,90.0000
C61,152.1611mm,102.9636mm,top,0.0000
C62,148.3611mm,104.3836mm,top,-90.0000
C63,144.3411mm,94.0036mm,top,90.0000
C64,145.0711mm,94.0036mm,top,90.0000
C65,143.6511mm,94.0036mm,top,90.0000
C66,147.6111mm,95.0636mm,top,90.0000
C67,146.1611mm,95.0636mm,top,90.0000
C68,160.2411mm,104.6436mm,top,-90.0000
C69,159.6911mm,104.6736mm,top,-90.0000
C70,158.3161mm,104.9786mm,top,-90.0000
C71,157.6911mm,104.9836mm,top,-90.0000
C72,164.5011mm,101.7936mm,top,-90.0000
C73,164.6011mm,100.8436mm,top,-90.0000
C74,164.5411mm,97.3936mm,top,90.0000
C75,163.2211mm,95.1736mm,top,180.0000
C76,156.5711mm,95.3636mm,top,0.0000
C77,155.1211mm,99.6236mm,top,180.0000
C78,155.4211mm,102.6736mm,top,180.0000
C79,158.9711mm,104.1636mm,top,0.0000
C80,160.7511mm,104.3436mm,top,-90.0000
C81,161.2011mm,104.3436mm,top,-90.0000
C82,163.3011mm,105.8636mm,top,180.0000
C83,166.1211mm,99.3936mm,top,90.0000
C84,167.2011mm,100.0436mm,top,90.0000
C85,162.2411mm,104.3436mm,top,-90.0000
C86,158.7011mm,94.0036mm,top,90.0000
C87,159.4411mm,94.0036mm,top,90.0000
