bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,1,-1,-3,2,2,5,-4,3
1,0,-1,-1,3,1,4,-1,4
2,-1,-2,-2,2,3,4,-1,4
3,-2,-2,-3,2,4,5,-1,4
4,-2,-2,-5,1,4,6,-3,3
5,-1,-2,-2,1,3,3,-1,3
6,0,-4,-3,1,4,4,-3,5
7,-1,-4,-3,2,5,5,-2,6
8,-2,-4,-4,1,6,5,-2,5
9,-1,-3,-4,0,4,4,-3,3
10,2,-3,-2,0,5,2,-4,3
11,1,-4,-2,-1,5,3,-3,3
12,2,-3,-3,1,5,4,-5,4
13,1,-4,-3,-1,5,4,-4,3
14,2,-3,-2,-3,5,5,-4,0
15,2,-2,-2,-2,4,4,-4,0
16,3,-3,-2,-2,6,4,-5,1
17,1,-3,-3,-3,4,6,-4,0
18,2,-1,-2,-3,3,5,-4,-2
19,2,-2,-1,-3,4,4,-3,-1
20,3,-2,-1,-4,5,5,-4,-2
21,5,-1,0,-2,6,2,-5,-1
22,4,-1,-1,-1,5,2,-5,0
23,4,0,0,0,4,0,-4,0
24,4,-1,0,-2,5,2,-4,-1
25,2,0,0,-4,2,4,-2,-4
26,2,1,1,-2,3,3,-1,-3
27,3,1,2,-2,4,4,-1,-3
28,2,2,1,0,4,1,-1,-2
29,1,2,4,0,3,4,3,-2
30,1,2,3,2,3,5,2,0
31,0,2,2,1,2,3,2,-1
32,0,2,0,0,2,0,0,-2
33,0,2,2,2,2,4,2,0
34,-1,1,3,2,2,5,4,1
35,-2,2,1,1,4,2,3,-1
36,-2,2,1,4,4,5,3,2
37,-1,1,1,2,2,3,2,1
38,-2,0,0,3,2,3,2,3
39,-3,-1,0,4,4,4,3,5
40,-3,1,1,2,4,3,4,1
41,-3,1,0,4,4,4,3,3
42,-2,0,0,2,2,2,2,2
43,-2,0,-1,3,2,4,1,3
44,-3,-1,-1,4,4,5,2,5
45,-3,-2,-1,3,5,4,2,5
46,-3,-3,0,1,6,1,3,4
47,-3,-3,-1,2,6,3,2,5
48,-2,-3,-2,2,5,4,0,5
49,-4,-4,-2,1,8,3,2,5
50,-4,-4,-2,0,8,2,2,4
51,-3,-4,-1,1,7,2,2,5
52,-3,-3,-1,0,6,1,2,3
53,-2,-3,-2,1,5,3,0,4
54,0,-4,-2,1,4,3,-2,5
55,1,-4,-2,-1,5,3,-3,3
56,1,-4,-2,-1,5,3,-3,3
57,2,-4,-1,0,6,1,-3,4
58,1,-4,-2,-2,5,4,-3,2
59,2,-4,-1,-1,6,2,-3,3
60,1,-3,0,-1,4,1,-1,2
61,2,-2,0,-1,4,1,-2,1
62,2,-2,1,-3,4,4,-1,-1
63,2,-2,0,-2,4,2,-2,0
64,2,-2,-1,-1,4,2,-3,1
65,2,-2,-2,-3,4,5,-4,-1
66,2,-1,-1,-2,3,3,-3,-1
67,2,0,0,-2,2,2,-2,-2
68,2,0,1,-2,2,3,-1,-2
69,2,0,1,-2,2,3,-1,-2
70,2,-1,1,-1,3,2,-1,0
71,1,0,1,-2,1,3,0,-2
72,1,1,2,-2,2,4,1,-3
73,1,1,3,-1,2,4,2,-2
74,1,2,2,-1,3,3,1,-3
75,0,2,3,-2,2,5,3,-4
76,0,3,0,-1,3,1,0,-4
77,-1,2,2,1,3,3,3,-1
78,-2,2,0,1,4,1,2,-1
79,0,2,2,0,2,2,2,-2
80,-1,1,3,2,2,5,4,1
81,-3,0,1,2,3,3,4,2
82,-4,1,1,2,5,3,5,1
83,-3,1,-1,1,4,2,2,0
84,-3,0,0,4,3,4,3,4
85,-4,-1,1,3,5,4,5,4
86,-2,-1,0,2,3,2,2,3
87,-3,0,0,1,3,1,3,1
88,-4,-1,-1,2,5,3,3,3
89,-3,-1,0,1,4,1,3,2
90,-3,-1,-2,1,4,3,1,2
91,-2,-3,0,1,5,1,2,4
