bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,16,0,33,0,16,33,17,0
1,16,-1,30,-1,17,31,14,0
2,16,-1,-31,0,17,31,-47,1
3,16,-1,29,-1,17,30,13,0
4,16,-1,65,-19,17,84,49,-18
5,16,-1,27,-1,17,28,11,0
6,16,-1,-26,-1,17,27,-42,0
7,16,-1,23,-1,17,24,7,0
8,16,-1,87,-19,17,106,71,-18
9,16,-1,19,-1,17,20,3,0
10,16,-1,-18,-1,17,19,-34,0
11,16,-1,14,-1,17,15,-2,0
12,16,-1,55,-14,17,69,39,-13
13,16,-1,8,-1,17,9,-8,0
14,16,-1,-6,-1,17,7,-22,0
15,16,-1,3,-1,17,4,-13,0
16,16,-1,64,-1,17,65,48,0
17,16,-1,-3,-1,17,4,-19,0
18,16,-1,6,-1,17,7,-10,0
19,16,-1,-9,-1,17,10,-25,0
20,16,-1,109,24,17,133,93,25
21,16,-1,-15,-1,17,16,-31,0
22,16,-1,17,-1,17,18,1,0
23,16,-1,-20,-1,17,21,-36,0
24,16,-1,40,-19,17,59,24,-18
25,16,-1,-24,-1,17,25,-40,0
26,16,-1,25,-1,17,26,9,0
27,16,-1,-28,-1,17,29,-44,0
28,16,-1,24,18,17,42,8,19
29,16,-1,-30,-1,17,31,-46,0
30,16,-1,30,-1,17,31,14,0
31,16,-1,-31,-1,17,32,-47,0
32,16,-1,94,-1,17,95,78,0
33,16,-1,-31,-1,17,32,-47,0
34,16,-1,30,-1,17,31,14,0
35,16,-1,-30,-1,17,31,-46,0
36,16,-1,24,-19,17,43,8,-18
37,16,-1,-28,-1,17,29,-44,0
38,16,-1,25,-1,17,26,9,0
39,16,-1,-24,-1,17,25,-40,0
40,16,-1,40,18,17,58,24,19
41,16,-1,-20,-1,17,21,-36,0
42,16,-1,17,-1,17,18,1,0
43,16,-1,-15,-1,17,16,-31,0
44,16,-1,109,-25,17,134,93,-24
45,16,-1,-9,-1,17,10,-25,0
46,16,-1,6,-1,17,7,-10,0
47,16,-1,-3,-1,17,4,-19,0
48,16,0,64,0,16,64,48,0
49,16,-1,3,-1,17,4,-13,0
50,16,-1,-6,-1,17,7,-22,0
51,16,-1,8,-1,17,9,-8,0
