bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,32760,0,60,0,32760,60,-32700,0
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,33,-50,0,83,33,-50
5,0,0,0,0,0,0,0,0
6,-1,0,-1,0,1,1,0,0
7,0,0,0,0,0,0,0,0
8,0,0,16,-57,0,73,16,-57
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,32,21,0,53,32,21
13,-1,-1,-1,-1,2,2,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,7,-61,0,68,7,-61
17,0,0,0,0,0,0,0,0
18,-1,0,-1,0,1,1,0,0
19,0,0,0,0,0,0,0,0
20,-1,0,13,99,1,112,14,99
21,0,0,0,0,0,0,0,0
22,-1,0,-1,0,1,1,0,0
23,0,0,0,0,0,0,0,0
24,-1,0,48,9,1,57,49,9
25,-1,-1,-1,-1,2,2,0,0
26,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0
28,-1,0,123,37,1,160,124,37
29,-1,-1,-1,-1,2,2,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,2,-63,0,65,2,-63
33,0,0,0,0,0,0,0,0
34,-1,0,-1,0,1,1,0,0
35,0,0,0,0,0,0,0,0
36,-1,0,118,-67,1,185,119,-67
37,0,0,0,0,0,0,0,0
38,-1,0,-1,0,1,1,0,0
39,0,0,0,0,0,0,0,0
40,-1,0,42,112,1,154,43,112
41,0,0,0,0,0,0,0,0
42,-1,0,-1,0,1,1,0,0
43,0,0,0,0,0,0,0,0
44,0,0,118,9,0,127,118,9
45,-1,-1,-1,-1,2,2,0,0
46,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0
48,0,0,57,34,0,91,57,34
49,-1,0,-1,0,1,1,0,0
50,-1,0,-1,0,1,1,0,0
51,0,0,0,0,0,0,0,0
52,-1,0,48,82,1,130,49,82
53,0,0,0,0,0,0,0,0
54,-1,-1,-1,-1,2,2,0,0
55,0,0,0,0,0,0,0,0
56,-1,0,126,13,1,139,127,13
57,-1,-1,-1,-1,2,2,0,0
58,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0
60,-1,0,39,-35,1,74,40,-35
61,-1,-1,-1,-1,2,2,0,0
62,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0
64,0,0,-1,-32,0,33,-1,-32
65,0,0,0,0,0,0,0,0
66,-1,0,-1,0,1,1,0,0
67,0,0,0,0,0,0,0,0
68,-1,0,16,-21,1,37,17,-21
69,0,0,0,0,0,0,0,0
70,-1,-1,-1,-1,2,2,0,0
71,0,0,0,0,0,0,0,0
72,0,0,89,-39,0,128,89,-39
73,0,0,0,0,0,0,0,0
74,-1,0,-1,0,1,1,0,0
75,0,0,0,0,0,0,0,0
76,-1,0,81,-42,1,123,82,-42
77,-1,-1,-1,-1,2,2,0,0
78,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0
