bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
0,16,0,-27,0,16,27,-43,0
1,16,0,12,-2,16,14,-4,-2
2,16,0,2,1,16,3,-14,1
3,16,0,5,11,16,16,-11,11
4,16,0,-27,23,16,50,-43,23
5,15,1,7,9,16,16,-8,8
6,15,1,0,2,16,2,-15,1
7,15,1,-8,10,16,18,-23,9
8,15,1,-21,24,16,45,-36,23
9,15,2,-5,11,17,16,-20,9
10,15,2,-2,1,17,3,-17,-1
11,15,2,-13,-2,17,15,-28,-4
12,15,2,9,-28,17,37,-6,-30
13,15,3,-13,1,18,14,-28,-2
14,15,3,-2,-2,18,4,-17,-5
15,15,3,-6,-12,18,18,-21,-15
16,15,3,-3,11,18,14,-18,8
17,15,4,-8,-11,19,19,-23,-15
18,15,4,0,-3,19,3,-15,-7
19,15,4,7,-11,19,18,-8,-15
20,15,4,0,9,19,9,-15,5
21,15,5,4,-12,20,16,-11,-17
22,15,5,2,-2,20,4,-13,-7
23,15,5,12,1,20,13,-3,-4
24,14,5,-26,25,19,51,-40,20
25,14,5,12,-2,19,14,-2,-7
26,14,6,2,1,20,3,-12,-5
27,14,6,5,11,20,16,-9,5
28,14,6,-21,2,20,23,-35,-4
29,14,6,7,9,20,16,-7,3
30,14,7,0,2,21,2,-14,-5
31,14,7,-8,10,21,18,-22,3
32,14,7,4,1,21,5,-10,-6
33,14,7,-5,11,21,16,-19,4
34,13,7,-2,1,20,3,-15,-6
35,13,8,-13,-1,21,14,-26,-9
36,13,8,27,-8,21,35,14,-16
37,13,8,-13,1,21,14,-26,-7
38,13,8,-2,-2,21,4,-15,-10
39,13,8,-6,-12,21,18,-19,-20
40,13,9,-29,-11,22,40,-42,-20
41,12,9,-8,-10,21,18,-20,-19
42,12,9,0,-3,21,3,-12,-12
43,12,9,7,-11,21,18,-5,-20
44,12,9,30,5,21,35,18,-4
45,12,10,4,-12,22,16,-8,-22
46,12,10,2,-2,22,4,-10,-12
47,12,10,12,0,22,12,0,-10
48,11,10,-6,-30,21,36,-17,-40
49,11,10,12,-3,21,15,1,-13
50,11,11,2,1,22,3,-9,-10
51,11,11,5,11,22,16,-6,0
52,11,11,-9,29,22,38,-20,18
53,11,11,8,9,22,17,-3,-2
54,10,11,0,2,21,2,-10,-9
55,10,11,-8,10,21,18,-18,-1
56,10,12,-27,23,22,50,-37,11
57,10,12,-5,11,22,16,-15,-1
58,10,12,-2,1,22,3,-12,-11
59,9,12,-13,-1,21,14,-22,-13
60,9,12,18,17,21,35,9,5
61,9,12,-13,2,21,15,-22,-10
62,9,13,-2,-1,22,3,-11,-14
63,9,13,-6,-12,22,18,-15,-25
64,8,13,-1,-1,21,2,-9,-14
65,8,13,-9,-10,21,19,-17,-23
66,8,13,-1,-3,21,4,-9,-16
67,8,13,6,-11,21,17,-2,-24
68,8,13,9,23,21,32,1,10
69,7,13,4,-13,20,17,-3,-26
70,7,14,2,-2,21,4,-5,-16
71,7,14,12,0,21,12,5,-14
72,7,14,-32,-16,21,48,-39,-30
73,6,14,12,-3,20,15,6,-17
74,6,14,2,1,20,3,-4,-13
