bin,range_profile_i,range_profile_q
0,-3,2
1,-1,3
2,-2,2
3,-3,2
4,-5,1
5,-2,1
6,-3,1
7,-3,2
8,-4,1
9,-4,0
10,-2,0
11,-2,-1
12,-3,1
13,-3,-1
14,-2,-3
15,-2,-2
16,-2,-2
17,-3,-3
18,-2,-3
19,-1,-3
20,-1,-4
21,0,-2
22,-1,-1
23,0,0
24,0,-2
25,0,-4
26,1,-2
27,2,-2
28,1,0
29,4,0
30,3,2
31,2,1
32,0,0
33,2,2
34,3,2
35,1,1
36,1,4
37,1,2
38,0,3
39,0,4
40,1,2
41,0,4
42,0,2
43,-1,3
44,-1,4
45,-1,3
46,0,1
47,-1,2
48,-2,2
49,-2,1
50,-2,0
51,-1,1
52,-1,0
53,-2,1
54,-2,1
55,-2,-1
56,-2,-1
57,-1,0
58,-2,-2
59,-1,-1
60,0,-1
61,0,-1
62,1,-3
63,0,-2
64,-1,-1
65,-2,-3
66,-1,-2
67,0,-2
68,1,-2
69,1,-2
70,1,-1
71,1,-2
72,2,-2
73,3,-1
74,2,-1
75,3,-2
76,0,-1
77,2,1
78,0,1
79,2,0
80,3,2
81,1,2
82,1,2
83,-1,1
84,0,4
85,1,3
86,0,2
87,0,1
88,-1,2
89,0,1
90,-2,1
91,0,1
92,-3,2
93,-3,2
94,-2,0
95,-3,1
96,-3,0
97,-2,0
98,-1,-1
99,-3,0
100,-3,0
101,-3,-1
102,-1,0
103,-2,-2
104,-3,-2
105,-2,-1
106,0,-3
107,0,-1
108,0,-3
109,-1,-4
110,0,-3
111,1,-4
112,2,-2
113,0,-4
114,2,-1
115,1,-2
116,2,-1
117,3,-2
118,1,0
119,1,-1
120,2,-2
121,1,-1
122,1,1
123,2,0
124,0,-1
125,1,1
126,2,1
127,0,1
128,-1,1
129,0,2
130,0,2
131,0,1
132,-1,1
133,0,2
134,-1,2
135,0,2
136,-2,1
137,0,0
138,-4,1
139,-3,-1
140,-2,2
141,-3,1
142,-1,0
143,-1,-1
144,0,-1
145,-4,0
146,-2,-1
147,0,-1
148,-1,-2
149,-2,-2
150,-2,-3
151,-2,-2
152,-1,-3
153,-1,-1
154,-1,-3
155,0,-2
156,-1,-1
157,2,-1
158,2,-2
159,1,-3
160,-1,-1
161,3,-1
162,-1,-1
163,1,-1
164,1,0
165,0,0
166,1,2
167,1,0
168,-1,-1
169,0,-2
170,-1,1
171,-1,0
172,0,1
173,-1,2
174,-1,1
175,-1,4
176,-1,2
177,-1,1
178,-2,2
179,0,-1
180,-1,1
181,-2,-1
182,-2,-1
183,-2,1
184,-2,0
185,-3,-1
186,-1,0
187,-1,-1
188,-1,-1
189,-2,-2
190,-2,-2
191,-4,-1
192,-2,-2
193,-1,-2
194,-2,-2
195,0,-1
196,0,-3
197,-1,-3
198,-1,-1
199,-1,-2
200,1,-2
201,-1,-1
202,1,-1
203,1,1
204,2,-1
205,1,0
206,1,0
207,-1,-1
208,-1,0
209,2,2
210,0,0
211,-1,2
212,-2,0
213,0,0
214,1,2
215,0,1
216,0,4
217,0,1
218,-2,1
219,1,2
220,-1,0
221,-3,-1
222,-1,2
223,-3,2
224,-4,1
225,-1,1
226,0,1
227,-1,0
228,-1,0
229,0,-1
230,-2,-1
231,-1,-1
232,-1,-1
233,-1,-1
234,-1,1
235,0,-4
236,-1,-2
237,0,-2
238,0,-3
239,-1,-2
240,-2,-2
241,1,-4
242,0,-2
243,-1,-3
244,-1,-2
245,-2,-4
246,1,-3
247,1,-1
248,1,-1
249,0,-3
250,0,0
251,0,-1
252,2,-2
253,-1,-1
254,1,-2
255,1,-1
256,2,-1
257,2,1
258,1,-1
259,0,0
260,0,-1
261,2,0
262,2,0
263,0,-1
264,1,2
265,0,0
266,-1,0
267,-1,-1
268,0,2
269,-1,2
270,1,1
271,-2,-2
272,-1,-1
273,-1,1
274,0,0
275,-1,-1
276,-2,1
277,-1,-2
278,-1,-2
279,-2,-1
280,-1,-1
281,-1,-1
282,-1,-2
283,0,-2
284,-2,-3
285,1,-1
286,0,-2
287,0,-3
288,-1,-4
289,0,-2
290,-2,0
291,0,-2
292,-1,-2
293,-1,0
294,1,-2
295,0,-1
296,0,-1
297,1,-2
298,1,0
299,1,-1
300,1,-3
301,1,-1
302,0,-1
303,1,-1
304,0,0
305,1,-2
306,0,2
307,1,1
308,-1,-1
309,0,1
310,0,0
311,0,1
312,-1,0
313,-2,-2
314,0,0
315,-2,2
316,-2,1
317,-2,-1
318,-1,0
319,-2,-1
320,-2,0
321,-1,-1
322,-2,0
323,-2,0
324,-2,0
325,-2,-1
326,-2,-1
327,-1,-1
328,-2,-1
329,-2,-1
330,-2,-1
331,-1,-1
332,0,-1
333,-2,-1
334,-1,-1
335,0,-1
336,1,-2
337,-1,-2
338,0,-1
339,-1,-2
340,1,0
341,1,-1
342,0,1
343,0,0
344,0,0
345,1,-2
346,1,-1
347,0,0
348,0,0
349,2,0
350,2,0
351,0,0
352,0,0
353,1,-1
354,0,-1
355,1,-1
356,0,1
357,0,0
358,0,0
359,-1,-1
360,-2,1
361,0,1
362,-2,0
363,-2,-1
364,-1,0
365,-1,0
366,-1,-1
367,0,1
368,0,0
369,-1,-2
370,-1,-1
371,0,0
372,-2,-1
373,1,-1
374,0,-2
375,0,-1
376,-1,1
377,-2,-3
378,0,-1
379,0,-1
380,0,0
381,-3,-2
382,-2,-2
383,0,0
384,0,1
385,0,-3
386,-1,-3
387,1,-1
388,1,0
389,1,-2
390,1,-1
391,2,-2
392,2,-2
393,3,-1
394,2,-1
395,1,-2
396,1,-1
397,0,-1
398,0,-1
399,1,1
400,2,-2
401,2,1
402,1,0
403,0,0
404,-1,2
405,0,2
406,1,-3
407,0,1
408,1,0
409,0,1
410,-1,1
411,-1,0
412,-2,0
413,-2,-1
414,-1,1
415,-1,0
