bin,range_profile_i,range_profile_q
0,33,0
1,30,-1
2,-31,0
3,29,-1
4,65,-19
5,27,-1
6,-26,-1
7,23,-1
8,87,-19
9,19,-1
10,-18,-1
11,14,-1
12,55,-14
13,8,-1
14,-6,-1
15,3,-1
16,64,-1
17,-3,-1
18,6,-1
19,-9,-1
20,109,24
21,-15,-1
22,17,-1
23,-20,-1
24,40,-19
25,-24,-1
26,25,-1
27,-28,-1
28,24,18
29,-30,-1
30,30,-1
31,-31,-1
32,94,-1
33,-31,-1
34,30,-1
35,-30,-1
36,24,-19
37,-28,-1
38,25,-1
39,-24,-1
40,40,18
41,-20,-1
42,17,-1
43,-15,-1
44,109,-25
45,-9,-1
46,6,-1
47,-3,-1
48,64,0
49,3,-1
50,-6,-1
51,8,-1
52,55,13
53,14,-1
54,-18,-1
55,19,-1
56,87,18
57,23,-1
58,-26,-1
59,27,-1
60,65,18
61,29,-1
62,-31,-1
63,30,-1
64,33,0
65,30,-1
66,-31,0
67,29,-1
68,65,-19
69,27,-1
70,-26,-1
71,23,-1
72,87,-19
73,19,-1
74,-18,-1
75,14,-1
76,55,-14
77,8,-1
78,-6,-1
79,3,-1
80,64,-1
81,-3,-1
82,6,-1
83,-9,-1
84,109,24
85,-15,-1
86,17,-1
87,-20,-1
88,40,-19
89,-24,-1
90,25,-1
91,-28,-1
92,24,18
93,-30,-1
94,30,-1
95,-31,-1
96,94,0
97,-31,-1
98,30,-1
99,-30,-1
100,24,-19
101,-28,-1
102,25,-1
103,-24,-1
104,40,18
105,-20,-1
106,17,-1
107,-15,-1
108,109,-25
109,-9,-1
110,6,-1
111,-3,-1
112,64,0
113,3,-1
114,-6,-1
115,8,-1
116,55,13
117,14,-1
118,-18,-1
119,19,-1
120,87,18
121,23,-1
122,-26,-1
123,27,-1
124,65,18
125,29,-1
126,-31,-1
127,30,-1
128,33,0
129,30,-1
130,-31,0
131,29,-1
132,65,-19
133,27,-1
134,-26,-1
135,23,-1
136,87,-19
137,19,-1
138,-18,-1
139,14,-1
140,55,-14
141,8,-1
142,-6,-1
143,3,-1
144,64,-1
145,-3,-1
146,6,-1
147,-9,-1
148,109,24
149,-15,-1
150,17,-1
151,-20,-1
152,40,-19
153,-24,-1
154,25,-1
155,-28,-1
156,24,18
157,-30,-1
158,30,-1
159,-31,-1
160,94,0
161,-31,-1
162,30,-1
163,-30,-1
164,24,-19
165,-28,-1
166,25,-1
167,-24,-1
168,40,18
169,-20,-1
170,17,-1
171,-15,-1
172,109,-25
173,-9,-1
174,6,-1
175,-3,-1
176,64,0
177,3,-1
178,-6,-1
179,8,-1
180,55,13
181,14,-1
182,-18,-1
183,19,-1
184,87,18
185,23,-1
186,-26,-1
187,27,-1
188,65,18
189,29,-1
190,-31,-1
191,30,-1
192,33,0
193,30,-1
194,-31,0
195,29,-1
196,65,-19
197,27,-1
198,-26,-1
199,23,-1
200,87,-19
201,19,-1
202,-18,-1
203,14,-1
204,55,-14
205,8,-1
206,-6,-1
207,3,-1
208,64,-1
209,-4,-1
210,6,-1
211,-9,0
212,109,24
213,-15,-1
214,17,-1
215,-20,-1
216,40,-19
217,-24,-1
218,25,-1
219,-28,-1
220,24,18
221,-30,-1
222,30,-1
223,-31,-1
224,94,0
225,-31,-1
226,30,-1
227,-30,-1
228,24,-19
229,-28,-1
230,25,-1
231,-24,-1
232,40,18
233,-20,-1
234,17,-1
235,-15,-1
236,109,-25
237,-9,-1
238,6,-1
239,-4,-1
240,64,0
241,3,-1
242,-6,-1
243,8,-1
244,55,13
245,14,-1
246,-18,-1
247,19,-1
248,87,18
249,23,-1
250,-26,-1
251,27,-1
252,65,18
253,29,-1
254,-31,-1
255,30,-1
256,33,0
257,30,-1
258,-31,0
259,29,-1
260,65,-19
261,27,-1
262,-26,-1
263,23,-1
264,87,-19
265,19,0
266,-18,-1
267,14,-1
268,55,-14
269,8,0
270,-7,-1
271,3,0
272,64,0
273,-4,0
274,6,-1
275,-9,0
276,109,24
277,-15,-1
278,17,-1
279,-20,-1
280,40,-19
281,-24,0
282,25,-1
283,-28,-1
284,24,18
285,-30,-1
286,30,-1
287,-31,-1
