bin,range_profile_i,range_profile_q
0,60,0
1,0,0
2,0,0
3,0,0
4,33,-50
5,0,0
6,-1,0
7,0,0
8,16,-57
9,0,0
10,0,0
11,0,0
12,32,21
13,-1,-1
14,0,0
15,0,0
16,7,-61
17,0,0
18,-1,0
19,0,0
20,13,99
21,0,0
22,-1,0
23,0,0
24,48,9
25,-1,-1
26,0,0
27,0,0
28,123,37
29,-1,-1
30,0,0
31,0,0
32,2,-63
33,0,0
34,-1,0
35,0,0
36,118,-67
37,0,0
38,-1,0
39,0,0
40,42,112
41,0,0
42,-1,0
43,0,0
44,118,9
45,-1,-1
46,0,0
47,0,0
48,57,34
49,-1,0
50,-1,0
51,0,0
52,48,82
53,0,0
54,-1,-1
55,0,0
56,126,13
57,-1,-1
58,0,0
59,0,0
60,39,-35
61,-1,-1
62,0,0
63,0,0
64,-1,-32
65,0,0
66,-1,0
67,0,0
68,16,-21
69,0,0
70,-1,-1
71,0,0
72,89,-39
73,0,0
74,-1,0
75,0,0
76,81,-42
77,-1,-1
78,0,0
79,0,0
80,58,85
81,0,0
82,-1,0
83,0,0
84,198,-67
85,0,0
86,-1,-1
87,0,0
88,123,-4
89,-1,-1
90,-1,0
91,0,0
92,37,34
93,-1,-1
94,0,0
95,0,0
96,64,44
97,-1,0
98,-1,0
99,0,0
100,36,-17
101,0,0
102,-1,0
103,0,0
104,30,71
105,0,0
106,-1,0
107,0,0
108,108,-32
109,-1,-1
110,0,0
111,0,0
112,98,30
113,-1,0
114,-1,0
115,0,0
116,103,16
117,0,0
118,-1,0
119,0,0
120,18,-20
121,-1,0
122,0,0
123,0,0
124,-5,-16
125,-1,0
126,0,0
127,0,0
128,30,-19
129,0,0
130,-1,0
131,0,0
132,-2,-16
133,0,0
134,-1,-1
135,0,0
136,35,-47
137,0,0
138,-1,0
139,0,0
140,87,-10
141,-1,-1
142,0,0
143,0,0
144,70,-60
145,0,0
146,-1,-1
147,0,0
148,134,78
149,0,0
150,-1,-1
151,0,0
152,70,-30
153,-1,-1
154,0,0
155,0,0
156,52,38
157,-1,-1
158,0,0
159,0,0
160,38,70
161,0,0
162,-1,0
163,0,0
164,85,32
165,0,0
166,-1,0
167,0,0
168,190,-59
169,0,0
170,-1,0
171,0,0
172,87,-3
173,-1,-1
174,0,0
175,0,0
176,93,-15
177,-1,-1
178,-1,0
179,0,0
180,100,39
181,0,0
182,-1,-1
183,0,0
184,21,14
185,-1,-1
186,0,0
187,0,0
188,53,4
189,-1,-1
190,0,0
191,0,0
192,67,12
193,-1,0
194,-1,0
195,0,0
196,75,2
197,0,0
198,-1,0
199,0,0
200,11,-44
201,0,0
202,-1,0
203,0,0
204,6,-18
205,-1,-1
206,-1,0
207,0,0
208,57,60
209,0,0
210,-1,0
211,0,0
212,144,16
213,0,0
214,-1,-1
215,0,0
216,115,-36
217,-1,-1
218,-1,0
219,0,0
220,43,-5
221,-1,-1
222,0,0
223,0,0
224,84,1
225,-1,0
226,-1,0
227,0,0
228,70,36
229,0,0
230,-1,0
231,0,0
232,91,25
233,0,0
234,-1,0
235,0,0
236,-12,-71
237,-1,-1
238,0,0
239,0,0
240,39,-18
241,-1,0
242,-1,0
243,0,0
244,88,-45
245,0,0
246,-1,0
247,0,0
248,-4,-8
249,-1,0
250,0,0
251,0,0
252,14,41
253,-1,0
254,0,0
255,0,0
256,45,-19
257,0,0
258,0,0
259,0,0
260,-22,-50
261,0,0
262,-1,0
263,0,0
264,-3,-8
265,0,0
266,0,0
267,0,0
268,83,88
269,-1,0
270,0,0
271,0,0
272,44,-34
273,0,0
274,-1,0
275,0,0
276,52,66
277,0,0
278,-1,0
279,0,0
280,74,-22
281,-1,0
282,0,0
283,0,0
284,90,-31
285,-1,0
286,0,0
287,0,0
288,60,-45
289,0,0
290,-1,0
291,0,0
292,78,-9
293,0,0
294,-1,0
295,0,0
296,115,48
297,0,0
298,-1,0
299,0,0
300,193,20
301,-1,0
302,0,0
303,0,0
304,95,-39
305,-1,0
306,-1,0
307,0,0
308,22,86
309,0,0
310,-1,0
311,0,0
312,38,44
313,-1,0
314,0,0
315,0,0
316,124,57
317,-1,0
318,0,0
319,0,0
320,68,54
321,0,0
322,0,0
323,0,0
324,70,41
325,0,0
326,-1,0
327,0,0
328,87,29
329,0,0
330,0,0
331,0,0
332,26,-22
333,-1,-1
334,0,0
335,0,0
336,160,-40
337,0,0
338,0,0
339,0,0
340,142,-2
341,0,0
342,-1,-1
343,0,0
344,107,-31
345,-1,-1
346,-1,0
347,0,0
348,89,1
349,-1,-1
350,0,0
351,0,0
352,117,-6
353,-1,0
354,-1,0
355,0,0
356,57,-15
357,0,0
358,-1,0
359,0,0
360,96,28
361,0,0
362,-1,0
363,0,0
364,60,-90
365,-1,-1
366,0,0
367,0,0
368,44,-6
369,-1,0
370,-1,0
371,0,0
372,54,11
373,0,0
374,-1,0
375,0,0
376,59,-16
377,-1,0
378,0,0
379,0,0
380,-4,-5
381,-1,0
382,0,0
383,0,0
384,67,-14
385,-1,0
386,0,0
387,0,0
388,-3,-5
389,0,0
390,-1,0
391,0,0
392,70,-21
393,0,0
394,0,0
395,0,0
396,9,-10
397,-1,0
398,-1,0
399,0,0
400,-1,-24
401,0,0
402,-1,0
403,0,0
404,99,2
405,0,0
406,-1,0
407,0,0
408,32,-21
409,-1,0
410,-1,0
411,0,0
412,-22,-9
413,-1,0
414,-1,0
415,0,0
416,49,52
417,0,0
418,0,0
419,0,0
420,63,33
421,0,0
422,-1,0
423,0,0
424,118,5
425,0,0
426,-1,0
427,0,0
428,143,22
429,-1,0
430,0,0
431,0,0
432,94,-17
433,-1,0
434,-1,0
435,0,0
436,103,47
437,0,0
438,-1,0
439,0,0
440,32,22
441,-1,0
442,0,0
443,0,0
444,44,14
445,-1,0
446,0,0
447,0,0
448,53,17
449,-1,0
450,0,0
451,0,0
452,56,13
453,0,0
454,-1,0
455,0,0
456,53,37
457,0,0
458,0,0
459,0,0
460,83,-36
461,-1,0
462,-1,0
463,0,0
464,62,27
465,0,0
466,0,0
467,0,0
468,46,27
469,0,0
470,-1,0
471,0,0
472,13,-46
473,-1,0
474,0,0
475,0,0
476,41,78
477,-1,0
478,0,0
479,0,0
480,60,3
481,-1,0
482,0,0
483,0,0
484,60,-46
485,0,0
486,-1,0
