bin,range_profile_i,range_profile_q
0,-27,0
1,12,-2
2,2,1
3,5,11
4,-27,23
5,7,9
6,0,2
7,-8,10
8,-21,24
9,-5,11
10,-2,1
11,-13,-2
12,9,-28
13,-13,1
14,-2,-2
15,-6,-12
16,-3,11
17,-8,-11
18,0,-3
19,7,-11
20,0,9
21,4,-12
22,2,-2
23,12,1
24,-26,25
25,12,-2
26,2,1
27,5,11
28,-21,2
29,7,9
30,0,2
31,-8,10
32,4,1
33,-5,11
34,-2,1
35,-13,-1
36,27,-8
37,-13,1
38,-2,-2
39,-6,-12
40,-29,-11
41,-8,-10
42,0,-3
43,7,-11
44,30,5
45,4,-12
46,2,-2
47,12,0
48,-6,-30
49,12,-3
50,2,1
51,5,11
52,-9,29
53,8,9
54,0,2
55,-8,10
56,-27,23
57,-5,11
58,-2,1
59,-13,-1
60,18,17
61,-13,2
62,-2,-1
63,-6,-12
64,-1,-1
65,-9,-10
66,-1,-3
67,6,-11
68,9,23
69,4,-13
70,2,-2
71,12,0
72,-32,-16
73,12,-3
74,2,1
75,5,11
76,30,4
77,8,9
78,0,2
79,-7,10
80,-26,-17
81,-4,11
82,-2,1
83,-13,-1
84,-7,29
85,-13,2
86,-3,-1
87,-7,-12
88,1,-31
89,-9,-10
90,-1,-3
91,6,-11
92,-18,22
93,4,-13
94,1,-2
95,12,0
96,-1,4
97,12,-3
98,2,1
99,6,11
100,10,-18
101,8,9
102,0,2
103,-7,10
104,-31,-14
105,-4,12
106,-2,1
107,-13,-1
108,8,3
109,-13,2
110,-3,-1
111,-7,-11
112,11,2
113,-9,-10
114,-1,-3
115,6,-12
116,-30,-2
117,3,-13
118,1,-2
119,12,-1
120,31,-10
121,12,-3
122,2,1
123,6,10
124,-32,-16
125,8,9
126,0,2
127,-7,10
128,10,-25
129,-4,12
130,-2,1
131,-13,0
132,-12,29
133,-13,3
134,-3,-1
135,-7,-11
136,-16,-29
137,-9,-9
138,-1,-3
139,5,-12
140,21,19
141,3,-13
142,1,-2
143,12,-1
144,-10,-7
145,12,-4
146,2,0
147,6,10
148,-9,-4
149,9,8
150,0,2
151,-6,11
152,-15,30
153,-4,12
154,-2,1
155,-13,0
156,4,-20
157,-13,3
158,-3,-1
159,-7,-11
160,-3,4
161,-9,-9
162,-1,-3
163,5,-12
164,-4,27
165,3,-13
166,1,-2
167,12,-1
168,20,-23
169,12,-4
170,2,0
171,6,10
172,-17,25
173,9,8
174,0,2
175,-6,11
176,29,5
177,-3,12
178,-2,1
179,-13,0
180,-25,-19
181,-13,3
182,-3,-1
183,-8,-11
184,-12,30
185,-10,-9
186,-1,-3
187,5,-12
188,-23,10
189,2,-13
190,1,-2
191,12,-2
192,0,-1
193,12,-4
194,2,0
195,7,10
196,-26,-1
197,9,8
198,0,2
199,-6,11
200,1,-29
201,-3,12
202,-2,1
203,-13,0
204,-16,26
205,-12,4
206,-3,-1
207,-8,-11
208,25,-17
209,-10,-9
210,-1,-3
211,5,-12
212,-26,-18
213,2,-13
214,1,-2
215,12,-2
216,27,12
217,11,-5
218,2,0
219,7,10
220,-14,-25
221,9,8
222,0,2
223,-5,11
224,-5,-3
225,-3,12
226,-2,1
227,-13,1
228,12,16
229,-12,4
230,-3,-1
231,-8,-11
232,-1,-28
233,-10,-8
234,-1,-3
235,4,-12
236,-7,6
237,2,-13
238,1,-2
239,12,-2
240,-7,9
241,11,-5
242,2,0
243,7,9
244,12,-27
245,9,8
246,0,2
247,-5,11
248,-4,-32
249,-3,12
250,-2,1
251,-13,1
252,2,-28
253,-12,4
254,-3,-1
255,-8,-11
256,18,18
257,-11,-8
258,-1,-3
259,4,-12
260,-28,2
261,1,-13
262,1,-2
263,12,-3
264,-32,-4
265,11,-5
266,2,0
267,8,9
268,-27,12
269,9,7
270,0,2
271,-5,11
272,10,-7
273,-2,12
274,-2,1
275,-13,1
276,6,-7
277,-12,4
278,-3,-1
279,-8,-10
280,-28,-1
281,-11,-8
282,-1,-3
283,4,-12
284,16,12
285,1,-13
286,1,-2
287,12,-3
288,-3,-5
289,11,-6
290,2,0
291,8,9
292,-25,-14
293,10,7
294,0,2
295,-5,11
296,12,27
297,-2,12
298,-2,1
299,-13,2
300,-18,-26
301,-12,5
302,-3,-1
303,-9,-10
304,-17,25
305,-11,-8
306,-1,-3
307,4,-12
308,26,-16
309,1,-13
310,1,-2
311,12,-3
312,-29,1
313,11,-6
314,2,0
315,8,9
316,-1,-26
317,10,7
318,0,2
319,-4,12
320,-1,0
321,-2,12
322,-2,1
323,-13,2
324,10,-24
325,-12,5
326,-3,-1
327,-9,-10
328,30,-12
329,-11,-8
330,-1,-3
331,3,-13
332,-19,-25
333,0,-13
334,1,-2
335,12,-3
336,5,29
337,11,-6
338,2,0
339,8,9
340,25,-17
341,10,6
342,0,2
343,-4,12
344,-23,20
345,-1,12
346,-2,1
347,-13,3
348,27,-4
349,-12,5
350,-3,-1
351,-9,-10
352,4,-3
353,-11,-7
354,-1,-3
355,3,-13
356,-20,4
357,0,-13
358,1,-2
359,12,-4
360,30,-15
361,11,-7
362,2,0
363,8,9
364,-4,-9
365,10,6
366,0,2
367,-4,12
368,-7,-11
369,-1,12
370,-2,1
371,-13,3
372,19,21
373,-12,5
374,-3,-1
375,-9,-9
376,-29,-16
377,-11,-7
378,-1,-3
379,3,-13
380,29,-12
381,0,-13
382,1,-2
383,12,-4
384,-25,10
385,10,-7
386,2,0
387,9,8
388,-16,-32
389,10,6
390,1,2
391,-3,12
392,-10,30
393,-1,12
394,-2,1
395,-13,3
396,-2,-30
397,-11,6
398,-3,-1
399,-10,-9
400,2,11
401,-11,-7
402,-1,-3
403,2,-13
404,3,8
405,-1,-13
406,1,-2
407,12,-4
408,-14,-31
409,10,-7
410,2,0
411,9,8
412,-18,10
413,11,5
414,1,2
415,-3,12
416,4,-1
417,0,12
418,-2,1
419,-13,4
420,22,-18
421,-11,6
422,-3,-1
423,-10,-9
424,-31,1
425,-12,-7
426,-1,-3
427,2,-13
428,29,-7
